,Output Freq,Input Freq,Uplink Tone,Downlink Tone,Lat,Long,Call,,,IRLP
,442.90000,447.90000,,,33.20980072,-87.56919861,W4TTR,,,
,442.92500,447.92500,103.5,103.5,33.67729950,-86.39659882,W4TCT,1,1,
,442.92500,447.92500,203.5,203.5,34.82559967,-87.29470062,AE4HF,1,1,
,442.95000,447.95000,203.5,203.5,34.26760101,-86.20890045,KI4RYX,1,1,
,442.95000,447.95000,,,33.20980072,-87.56919861,W4MD,,1,
,442.97500,447.97500,100.0,100.0,34.70180130,-86.37580109,K4DED,1,1,
,443.00000,448.00000,,,34.73040009,-86.58609772,WA4NPL,1,1,
,443.00000,448.00000,100.0,,31.80879974,-85.96990204,W4NQ,1,1,
,443.02500,448.02500,,,34.68470001,-86.79199982,KJ4NYH,1,,
,443.02500,448.02500,,,33.34510040,-87.01399994,W4RKZ,1,,
,443.05000,448.05000,203.5,,33.58620071,-86.28610229,K4DSS,1,1,
,443.07500,448.07500,,,33.70830154,-87.82399750,KK4QXJ,1,,
,443.12500,448.12500,146.2,,33.52069855,-86.80249786,N4VSU,1,1,
,443.12500,448.12500,107.2,,34.73040009,-86.58609772,WA1TDH,1,1,
,443.15000,448.15000,103.5,,34.73040009,-86.58609772,W4DYN,1,1,
,443.15000,448.15000,103.5,,33.17795800,-87.15414300,K4RKY,1,1,
,443.17500,448.17500,,131.8,33.52069855,-86.80249786,KK4BSK,1,1,
,443.20000,448.20000,,,33.39049911,-86.66600037,K4DSO,1,,
,443.25000,448.25000,103.5,103.5,34.73040009,-86.58609772,KE4LRX,1,1,
,443.27500,448.27500,123.0,123.0,33.73070145,-87.28440094,WR4Y,1,1,
,443.30000,448.30000,156.7,,34.73040009,-86.58609772,KE4GNN,1,1,
,443.30000,448.30000,,,33.20980072,-87.56919861,W4ELX,1,1,
,443.30000,448.30000,131.8,131.8,33.20980072,-87.56919861,WS4I,1,1,
,443.32500,448.32500,,,34.44430161,-85.71970367,KI4SAY,1,,
,443.32500,448.32500,,,34.47999954,-85.69400024,KI4SAY,1,,
,443.35000,448.35000,,,33.62089920,-85.87110138,KJ4JGK,1,,
,443.37500,448.37500,,,34.73040009,-86.58609772,KI4PPF,,,
,443.40000,448.40000,103.5,,34.57949829,-85.59049988,W4OZK,1,1,
,443.42500,448.42500,,,34.49050140,-86.60420227,W4WBC,1,,
,443.45000,448.45000,131.8,,33.52069855,-86.80249786,KK4BSK,1,1,
,443.45000,448.45000,203.5,,34.91379929,-86.98349762,WV4K,1,1,
,443.47500,448.47500,103.5,,34.73040009,-86.58609772,W4VM,1,1,
